id,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
812,no checking account,60,no credits taken/all credits paid back duly,retraining,7297,unknown/no savings account,>= 7 yrs,< 20,co-applicant,>= 7 yrs,real estate,36,none,for free,1,skilled employee/official,0 to 2,no,no,bad
903,... < 0 DM,36,existing credits paid back duly till now,others,2225,unknown/no savings account,>= 7 yrs,< 20,none,>= 7 yrs,real estate,57,bank,own,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad
948,... >= 200 DM / salary for at least 1 year,30,critical account/other credits elsewhere,car (new),7485,... >= 1000 DM,unemployed,< 20,none,< 1 yr,unknown / no property,53,bank,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
60,... >= 200 DM / salary for at least 1 year,36,no credits taken/all credits paid back duly,others,3079,... >= 1000 DM,1 <= ... < 4 yrs,< 20,none,>= 7 yrs,unknown / no property,36,none,rent,1,skilled employee/official,0 to 2,no,no,good
31,0<= ... < 200 DM,30,all credits at this bank paid back duly,furniture/equipment,3017,unknown/no savings account,>= 7 yrs,< 20,none,>= 7 yrs,car or other,47,none,rent,1,skilled employee/official,0 to 2,no,no,good
222,0<= ... < 200 DM,30,all credits at this bank paid back duly,furniture/equipment,3656,... >= 1000 DM,>= 7 yrs,< 20,none,>= 7 yrs,car or other,49,stores,rent,2-3,unskilled - resident,0 to 2,no,no,good
605,no checking account,36,no credits taken/all credits paid back duly,car (used),2712,unknown/no savings account,>= 7 yrs,25 <= ... < 35,none,1 <= ... < 4 yrs,car or other,41,bank,rent,1,skilled employee/official,3 or more,no,no,bad
383,... >= 200 DM / salary for at least 1 year,60,all credits at this bank paid back duly,others,13756,... >= 1000 DM,>= 7 yrs,25 <= ... < 35,none,>= 7 yrs,real estate,63,bank,own,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good
219,no checking account,47,no credits taken/all credits paid back duly,others,10722,unknown/no savings account,< 1 yr,>= 35,none,< 1 yr,unknown / no property,35,none,rent,1,unskilled - resident,0 to 2,yes (under customer name),no,good
64,... >= 200 DM / salary for at least 1 year,36,existing credits paid back duly till now,others,10875,unknown/no savings account,>= 7 yrs,25 <= ... < 35,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,45,none,rent,2-3,skilled employee/official,3 or more,yes (under customer name),no,good
827,... < 0 DM,48,delay in paying off in the past,retraining,3844,... <  100 DM,4 <= ... < 7 yrs,< 20,none,>= 7 yrs,real estate,34,none,own,1,unskilled - resident,3 or more,no,no,bad
717,no checking account,48,no credits taken/all credits paid back duly,repairs,7476,unknown/no savings account,4 <= ... < 7 yrs,< 20,none,< 1 yr,real estate,50,none,own,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good
850,... < 0 DM,36,no credits taken/all credits paid back duly,repairs,12612,... <  100 DM,1 <= ... < 4 yrs,>= 35,none,>= 7 yrs,real estate,47,none,own,1,skilled employee/official,3 or more,yes (under customer name),no,bad
121,... < 0 DM,36,no credits taken/all credits paid back duly,furniture/equipment,4795,unknown/no savings account,< 1 yr,< 20,none,< 1 yr,real estate,30,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good
73,... >= 200 DM / salary for at least 1 year,36,no credits taken/all credits paid back duly,furniture/equipment,2299,100 <= ... <  500 DM,>= 7 yrs,< 20,none,>= 7 yrs,building soc. savings agr./life insurance,39,none,rent,1,skilled employee/official,0 to 2,no,no,good
644,no checking account,48,all credits at this bank paid back duly,car (new),6143,unknown/no savings account,>= 7 yrs,< 20,none,>= 7 yrs,real estate,58,stores,own,2-3,unskilled - resident,0 to 2,no,no,bad
159,... < 0 DM,48,critical account/other credits elsewhere,retraining,6416,unknown/no savings account,>= 7 yrs,< 20,none,4 <= ... < 7 yrs,real estate,59,none,for free,1,skilled employee/official,0 to 2,no,no,bad
310,... >= 200 DM / salary for at least 1 year,54,delay in paying off in the past,car (new),9436,... >= 1000 DM,1 <= ... < 4 yrs,25 <= ... < 35,none,1 <= ... < 4 yrs,car or other,39,none,rent,1,unskilled - resident,3 or more,no,no,good
255,... >= 200 DM / salary for at least 1 year,36,all credits at this bank paid back duly,car (new),5711,500 <= ... < 1000 DM,>= 7 yrs,< 20,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,38,none,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good
378,... < 0 DM,27,existing credits paid back duly till now,car (new),5965,unknown/no savings account,>= 7 yrs,>= 35,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,30,none,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good
356,... >= 200 DM / salary for at least 1 year,36,all credits at this bank paid back duly,car (new),10477,... >= 1000 DM,>= 7 yrs,25 <= ... < 35,none,>= 7 yrs,real estate,42,none,own,2-3,skilled employee/official,0 to 2,no,no,good
209,... < 0 DM,48,critical account/other credits elsewhere,others,12169,... >= 1000 DM,unemployed,< 20,co-applicant,>= 7 yrs,real estate,36,none,own,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good
30,0<= ... < 200 DM,42,all credits at this bank paid back duly,car (new),4796,unknown/no savings account,>= 7 yrs,< 20,none,>= 7 yrs,real estate,56,none,own,1,skilled employee/official,0 to 2,no,no,good
709,no checking account,48,critical account/other credits elsewhere,retraining,7685,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,guarantor,>= 7 yrs,building soc. savings agr./life insurance,37,none,for free,1,skilled employee/official,0 to 2,no,no,bad
735,no checking account,36,no credits taken/all credits paid back duly,car (new),5493,unknown/no savings account,>= 7 yrs,25 <= ... < 35,none,>= 7 yrs,real estate,42,none,own,1,skilled employee/official,3 or more,no,no,good
976,no checking account,30,no credits taken/all credits paid back duly,domestic appliances,11998,unknown/no savings account,< 1 yr,>= 35,none,< 1 yr,real estate,34,bank,rent,1,unskilled - resident,0 to 2,yes (under customer name),no,bad
576,... < 0 DM,48,delay in paying off in the past,retraining,12204,... >= 1000 DM,1 <= ... < 4 yrs,25 <= ... < 35,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,48,bank,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good
32,... >= 200 DM / salary for at least 1 year,36,all credits at this bank paid back duly,others,3535,unknown/no savings account,4 <= ... < 7 yrs,< 20,none,>= 7 yrs,building soc. savings agr./life insurance,37,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good
732,... >= 200 DM / salary for at least 1 year,60,no credits taken/all credits paid back duly,others,6527,... >= 1000 DM,1 <= ... < 4 yrs,< 20,none,>= 7 yrs,real estate,34,none,own,1,skilled employee/official,3 or more,yes (under customer name),no,good
98,... < 0 DM,36,existing credits paid back duly till now,retraining,4455,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,none,1 <= ... < 4 yrs,unknown / no property,30,stores,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
632,no checking account,42,no credits taken/all credits paid back duly,car (used),7882,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,guarantor,>= 7 yrs,car or other,45,none,own,1,skilled employee/official,3 or more,no,no,good
