id,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
180,... >= 200 DM / salary for at least 1 year,48,existing credits paid back duly till now,furniture/equipment,12749,100 <= ... <  500 DM,4 <= ... < 7 yrs,< 20,none,< 1 yr,building soc. savings agr./life insurance,37,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good
23,... < 0 DM,36,no credits taken/all credits paid back duly,domestic appliances,2384,unknown/no savings account,< 1 yr,< 20,none,< 1 yr,real estate,33,none,for free,1,unskilled - resident,0 to 2,no,no,bad
812,no checking account,60,no credits taken/all credits paid back duly,retraining,7297,unknown/no savings account,>= 7 yrs,< 20,co-applicant,>= 7 yrs,real estate,36,none,for free,1,skilled employee/official,0 to 2,no,no,bad
341,... >= 200 DM / salary for at least 1 year,30,all credits at this bank paid back duly,furniture/equipment,3077,... >= 1000 DM,>= 7 yrs,20 <= ... < 25,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,40,none,rent,2-3,skilled employee/official,3 or more,yes (under customer name),no,good
731,... < 0 DM,42,critical account/other credits elsewhere,car (new),9283,unknown/no savings account,unemployed,>= 35,none,1 <= ... < 4 yrs,real estate,55,bank,own,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good
189,... < 0 DM,36,no credits taken/all credits paid back duly,repairs,2273,unknown/no savings account,4 <= ... < 7 yrs,20 <= ... < 25,none,< 1 yr,building soc. savings agr./life insurance,32,none,rent,2-3,skilled employee/official,3 or more,no,no,good
272,... >= 200 DM / salary for at least 1 year,36,existing credits paid back duly till now,car (used),7678,100 <= ... <  500 DM,4 <= ... < 7 yrs,25 <= ... < 35,none,>= 7 yrs,building soc. savings agr./life insurance,40,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good
903,... < 0 DM,36,existing credits paid back duly till now,others,2225,unknown/no savings account,>= 7 yrs,< 20,none,>= 7 yrs,real estate,57,bank,own,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad
948,... >= 200 DM / salary for at least 1 year,30,critical account/other credits elsewhere,car (new),7485,... >= 1000 DM,unemployed,< 20,none,< 1 yr,unknown / no property,53,bank,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
944,... < 0 DM,36,no credits taken/all credits paid back duly,others,12389,... >= 1000 DM,1 <= ... < 4 yrs,>= 35,none,>= 7 yrs,real estate,37,bank,own,1,skilled employee/official,0 to 2,yes (under customer name),no,bad
60,... >= 200 DM / salary for at least 1 year,36,no credits taken/all credits paid back duly,others,3079,... >= 1000 DM,1 <= ... < 4 yrs,< 20,none,>= 7 yrs,unknown / no property,36,none,rent,1,skilled employee/official,0 to 2,no,no,good
196,... >= 200 DM / salary for at least 1 year,33,all credits at this bank paid back duly,car (new),7253,unknown/no savings account,4 <= ... < 7 yrs,20 <= ... < 25,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,35,none,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good
1000,no checking account,30,no credits taken/all credits paid back duly,car (used),6350,... >= 1000 DM,>= 7 yrs,< 20,none,>= 7 yrs,car or other,31,none,rent,1,skilled employee/official,0 to 2,no,no,bad
